date,q_oil,q_gas,q_water,glr,whfp,whft
8/2/2017,1259.6488,328.1,1254.3172,239.94,267.8,82.2
8/3/2017,1254.6488,321.1,1093.86,35.93,231.1,78.2
8/4/2017,1242.6488,310.1,1246.28,42.85,220.82,77.2
8/5/2017,965.3,170,1469.65,69,232.8,77.16
8/6/2017,1594.12,310.1,1310.3172,169.58,201.66,81.22
8/7/2017,1235.6488,311.1,1261.3172,163.86,202.81,81.85
8/8/2017,1211.6488,325.1,1230.3172,175.4,200.85,82.07
8/9/2017,1233.6488,333.1,1250.3172,177.78,200.93,81.57
8/10/2017,1259.6488,310.1,1215.3172,192.82,195.14,81.05
8/11/2017,1222.6488,329.1,1492.85,193.23,192.25,80.86
8/12/2017,1211.6488,320,1433.91,93.18,195.4,80.76
8/13/2017,1265.6488,350,1304.86,105.67,200.97,80.6
8/14/2017,1245.6488,460,1295.41,136.76,193.5,80.51
8/15/2017,1233.6488,314.1,1262.08,195.97,191.74,80.06
8/16/2017,1254.6488,328.1,1194.16,208.74,191.45,80.17
8/17/2017,1239.6488,334.1,1163.71,196.92,192.44,79.96
8/18/2017,1223.6488,326.1,1200.76,197.17,191.04,80.08
8/19/2017,1249.6488,325.1,1173.59,181.45,200.77,79.52
8/20/2017,1213.6488,500,1199.11,164.69,200.65,79.44
8/21/2017,1231.6488,350,1185.45,118.58,190.73,79.91
8/22/2017,1215.6488,450,1164.49,152.11,187.28,79.87
8/23/2017,1236.6488,440,1189.16,147.49,199.93,79.26
8/24/2017,1242.6488,390,1203.88,131.44,201.92,78.73
8/25/2017,1493.16,170,1181.73,63.93,189.03,78.82
8/26/2017,1480.45,220,1166.26,82.61,274.7501,79.2
8/27/2017,1262.6488,303.1,1290.3172,112.770875,231.7501,80.2
8/28/2017,1231.6488,327.1,1278.3172,132.770875,277.7501,82.2
8/29/2017,1261.6488,332.1,1247.3172,144.770875,237.7501,77.2
8/30/2017,1433.91,180,1091.22,70.4,205.13,77.2
8/31/2017,1097.66,180,1246.3172,65.17,186.8,74.34
9/1/2017,1245.29,330,1376.94,126.41,183.04,77.02
9/2/2017,1421.61,250,1457.24,87.42,192,77.01
9/3/2017,1567.84,320,1340.56,108.49,210.9,79.2
