,q_oil,q_gas,q_water,glr,whfp,whft
count,264.0,264.0,264.0,264.0,264.0,264.0
mean,2080.1157575757575,845.9560606060605,1839.8917424242422,236.32996212121213,246.01700757575753,86.7399260042424
std,401.24176708111344,274.02440546788296,665.0082852281221,109.30955861305574,65.33182177069816,3.2750771287374763
min,1255.84,160.0,133.27,112.42,130.7,74.96
25%,1827.255,640.0,1282.1825,155.455,206.45999999999998,85.17
50%,1927.17,820.0,2008.375,195.31,223.92000000000002,86.98
75%,2299.7575,950.0,2332.91,273.8525,242.3,88.55
max,3066.63,1930.0,2762.64,613.99,474.65,95.72
