date,q_oil,q_gas,q_water,glr,whfp,whft
7/4/2018,5053.45,1224.789474,169.36,197.63,256.7297521,86.31753378
7/5/2018,5053.45,1340.789474,124.36,309.61,254.7297521,84.31753378
7/6/2018,5236.45,1255.789474,119.36,229.8346667,241.7297521,77.31753378
7/7/2018,5112.45,1283.789474,154.36,218.8346667,230.7297521,85.31753378
7/8/2018,5057.45,1378.789474,177.36,218.8346667,215.7297521,80.31753378
7/9/2018,5223.45,1215.789474,187.36,250.8346667,248.7297521,78.31753378
7/10/2018,5190.45,1290.789474,127.36,258.8346667,250.7297521,80.31753378
7/11/2018,5102.45,1386.789474,129.36,213.8346667,244.7297521,82.31753378
7/12/2018,5198.45,1386.789474,139.36,243.8346667,217.7297521,80.31753378
7/13/2018,5165.45,1256.789474,168.36,211.8346667,213.7297521,82.31753378
7/14/2018,5083.45,1289.789474,195.36,215.8346667,239.7297521,78.31753378
7/15/2018,5154.45,1392.789474,166.36,229.8346667,245.7297521,84.31753378
7/16/2018,5061.45,1260.789474,134.36,211.8346667,241.7297521,77.31753378
7/17/2018,5074.45,1289.789474,189.36,202.15,242.7297521,77.31753378
7/18/2018,5234.45,1080,194.36,242.8346667,231.7297521,84.31753378
7/19/2018,5220.45,1160,179.36,296.57,204.7297521,80.43
7/20/2018,5102.45,1090,182.36,258.09,256.7297521,81.53
7/21/2018,5207.45,1070,180.36,257.88,222.7297521,82.21
7/22/2018,5000.66,1500,204.36,300.76,229.7297521,85.02
7/23/2018,5143.89,1550,157.36,300.75,234.7297521,85.2
7/24/2018,5110.05,1750,178.36,207.8346667,244.7297521,84.64
7/25/2018,5052.28,1830,171.36,264.8346667,256.7297521,84.33
7/26/2018,5000.7,1790,181.36,222.8346667,254.7297521,84.12
7/27/2018,5044.11,1760,204.36,250.8346667,237.7297521,83.86
7/28/2018,4981.89,1610,212.36,242.8346667,227.7297521,83.77
7/29/2018,5023.59,1210,141.36,241.46,221.7297521,83.93
7/30/2018,4883.67,1120,214.36,230.15,217.7297521,83.76
7/31/2018,4823.52,1080,129.36,224.32,248.7297521,83.77
8/1/2018,4854.82,940,127.36,193.42,219.7297521,83.82
8/2/2018,4863,1390,124.36,285.23,224.7297521,83.82
8/3/2018,4697.06,1500,134.36,251.8346667,200.7297521,83.97
8/4/2018,4571.87,1490,179.36,237.8346667,216.7297521,83.83
8/5/2018,4622.97,1720,166.36,234.8346667,215.7297521,83.57
8/6/2018,4553.49,1680,181.36,210.8346667,242.7297521,83.75
8/7/2018,4657.3,1770,131.36,234.8346667,197.7297521,83.81
8/8/2018,4936.09,1350,127.36,273.7,253.7297521,84.57
8/9/2018,4979.07,1400,120.36,281.18,250.7297521,84.67
8/10/2018,4975.24,1340,199.36,268.73,211.7297521,84.73
8/11/2018,4911.68,1080,207.36,219.88,226.7297521,84.48
8/12/2018,4707.19,1170,136.36,249.16,211.7297521,84.35
8/13/2018,4684.14,1300,170.36,277.53,234.7297521,84.31
8/14/2018,4605.42,1230,153.36,266.21,207.7297521,84.27
8/15/2018,4433.1,890,215.36,199.69,227.7297521,84.27
8/16/2018,4417.57,1070,178.36,242.23,199.7297521,84.17
8/17/2018,4268.7,1080,123.36,252.08,239.7297521,84.18
8/18/2018,4317.49,1110,188.36,256.41,211.7297521,84.19
8/19/2018,4228.39,1040,190.36,245.5,252.7297521,84.3
8/20/2018,4209.41,1100,164.36,261.56,211.7297521,84.29
8/21/2018,4520.96,1220,214.36,270.16,233.7297521,80.31753378
8/22/2018,4297.36,970,237.13,214.68,208.7297521,83.13
8/23/2018,4294.28,980,338.96,210.65,206.7297521,84.24
8/24/2018,3928.7,820,284.36,195.34,218.7297521,84.03
8/25/2018,3753.97,900,303.04,220.61,206.7297521,83.74
8/26/2018,3799.78,930,310.5,225.29,218.7297521,83.72
8/27/2018,3828.69,1010,306.74,243.26,247.7297521,83.52
8/28/2018,3442.23,1170,305.44,312.19,246.7297521,83.31
8/29/2018,3592.32,1270,314.82,256.8346667,245.7297521,83.02
8/30/2018,3625.69,1100,310.29,279.47,231.7297521,83
8/31/2018,3216.33,700,424.49,192.54,217.7297521,82.84
9/1/2018,3122.98,700,432.63,197.43,208.7297521,82.57
9/2/2018,3130.42,720,445.83,200.77,213.7297521,82.54
9/3/2018,3102.03,720,437.07,204.29,240.7297521,82.38
9/4/2018,3085.16,730,440.39,207.06,211.7297521,82.43
9/5/2018,3097.33,660,445.01,184.91,256.14,83.03
9/6/2018,3108.47,600,451.02,167.44,255.74,82.98
9/7/2018,3107.37,610,627.29,163.6,254.25,83.03
9/8/2018,3075.59,660,627.24,178.51,254.78,83.03
9/9/2018,2966.16,650,613.62,182.13,252.3,83.12
9/10/2018,2997.77,650,600.19,180.66,252.57,83.08
9/11/2018,2962.32,650,586.12,182.62,252.2,82.92
9/12/2018,2944.69,560,585.99,159.74,248.84,82.92
9/13/2018,2986.54,470,589.86,240.8346667,232.34,83.53
9/14/2018,2805.47,460,737.37,226.8346667,231.28,83.7
9/15/2018,2792.74,460,733.08,219.8346667,231.08,83.74
9/16/2018,2873.54,480,731.59,214.8346667,230.32,83.69
9/17/2018,2850.89,480,715.61,211.8346667,228,83.63
9/18/2018,2709.17,540,723.74,156.43,246.03,83.13
9/19/2018,2776.19,690,669.31,199.39,242.22,83.33
9/20/2018,2721.96,620,662.64,182.89,235.21,83.52
9/21/2018,2700.51,720,828.37,205.16,222.08,83.93
9/22/2018,2799.65,710,817.34,197.4,225.11,83.75
9/23/2018,2764.28,710,867.43,194.95,221.91,83.89
9/24/2018,2582.03,580,831.06,170.52,245.52,82.34
9/25/2018,2516.17,610,841.9,181.95,240.67,82.21
9/26/2018,2308.01,590,1015.94,178.4,205.43,84.21
9/27/2018,2520.88,720,1172.6,194.4,208.12,85.65
9/28/2018,2420.45,820,1068.39,235.04,198.67,84.85
9/29/2018,2471.26,830,1074.65,234.35,197.68,84.62
9/30/2018,2475.87,840,1158.21,230.04,197.69,85.23
10/1/2018,2485.52,870,1223.04,234.32,209.75,86.16
10/2/2018,2474.46,840,1246.61,227.09,221.89,85.51
10/3/2018,2311.3,770,1192.83,220.52,233.8,83.99
10/4/2018,2315.96,730,1216.56,207.78,217.28,84.02
