,q_oil,q_gas,q_water,glr,whfp,whft
count,317.0,317.0,317.0,317.0,317.0,317.0
mean,2277.627444794952,701.8739830788644,1656.1714826498421,172.4973279735016,228.75209584321772,82.22605113369085
std,1285.5247872118885,318.9736286227872,899.2789025697045,52.33785224602344,17.462698365856692,3.469666794922828
min,622.33,280.0,119.36,80.4,166.12,75.06
25%,1497.94,500.0,817.34,128.33,216.95,79.23
50%,1691.37,620.0,1910.35,166.77,232.04,83.13
75%,2721.96,780.0,2498.0,210.65,240.76,85.55
max,5236.45,1830.0,2768.38,312.19,265.94,87.12
