date,orig,pred
2017-08-03,1254.6488,1252.6211612898112
2017-08-04,1242.6488,1248.0081526744366
2017-08-05,965.3,1241.451571353078
2017-08-06,1594.12,1024.8139384295046
2017-08-07,1235.6488,1521.0768453884125
2017-08-08,1211.6488,1278.4293754446508
2017-08-09,1233.6488,1260.7541712719203
2017-08-10,1259.6488,1266.6013910281658
2017-08-11,1222.6488,1270.033174775839
2017-08-12,1211.6488,1263.5763691830634
2017-08-13,1265.6488,1267.1397482740879
2017-08-14,1245.6488,1293.2869770991801
2017-08-15,1233.6488,1285.7879920887947
2017-08-16,1254.6488,1235.401597290039
2017-08-17,1239.6488,1243.059958882928
2017-08-18,1223.6488,1228.3331866729259
2017-08-19,1249.6488,1223.344748379588
2017-08-20,1213.6488,1228.0716670382023
2017-08-21,1231.6488,1300.6456633704902
2017-08-22,1215.6488,1245.7799441146851
2017-08-23,1236.6488,1288.5898588675261
2017-08-24,1242.6488,1287.708518202901
2017-08-25,1493.16,1270.2197755801678
2017-08-26,1480.45,1427.874408646226
2017-08-27,1262.6488,1382.5691955256461
2017-08-28,1231.6488,1267.750517772436
2017-08-29,1261.6488,1260.765381245613
2017-08-30,1433.91,1225.261653881073
2017-08-31,1097.66,1335.9309703159333
2017-09-01,1245.29,1159.173706551194
2017-09-02,1421.61,1262.4044047284126
2017-09-03,1567.84,1352.5998530614377
2017-09-04,1236.6488,1475.947023098469
2017-09-05,1252.6488,1202.1402824270724
2017-09-06,1219.6488,1250.1382565575839
2017-09-07,1243.6488,1265.0077644574642
2017-09-08,1266.6488,1218.2867525476217
2017-09-09,1250.6488,1280.8862396168709
2017-09-10,1219.6488,1320.8882996547222
2017-09-11,1210.6488,1277.5712902534008
2017-09-12,1261.6488,1258.6566529023648
2017-09-13,1266.6488,1259.3041159170866
2017-09-14,1264.6488,1278.3911501306295
2017-09-15,1218.6488,1205.1255471605061
2017-09-16,1247.6488,1123.6793092268706
2017-09-17,1259.6488,1158.6599973219634
2017-09-18,1266.6488,1224.8952061074972
2017-09-19,1261.6488,1276.3455039995908
2017-09-20,1265.6488,1243.4133863765
2017-09-21,1236.6488,1226.1114534395933
2017-09-22,775.05,1172.203386222124
2017-09-23,1072.82,1051.5710490065812
2017-09-24,1107.82,1214.3409114348888
2017-09-25,1165.21,1239.5763725239037
2017-09-26,1465.83,1256.4167469787599
2017-09-27,1474.01,1420.882170148492
2017-09-28,1519.41,1414.6984422999622
2017-09-29,1721.1,1448.9358604002
2017-09-30,1223.6488,1637.6133645761013
2017-10-01,1230.6488,1293.7840454357863
2017-10-02,1226.6488,1299.307220362425
2017-10-03,1211.6488,1300.9025876122714
2017-10-04,1259.6488,1313.6551511633397
2017-10-05,1663.42,1342.612462772727
2017-10-06,1707.2,1608.024882708788
