date orig pred
2017-08-03 231.1 244.10480024099348
2017-08-04 220.82 219.88969090938568
2017-08-05 232.8 221.9538030025363
2017-08-06 201.66 224.0696105670929
2017-08-07 202.81 202.8443436151743
2017-08-08 200.85 196.51803737610578
2017-08-09 200.93 193.53195867717264
2017-08-10 195.14 195.14790105730293
2017-08-11 192.25 192.35672979563475
2017-08-12 195.4 192.5412924468517
2017-08-13 200.97 195.23760330110787
2017-08-14 193.5 198.69297528237104
2017-08-15 191.74 191.07340003430843
2017-08-16 191.45 192.15391080260275
2017-08-17 192.44 192.07662372499703
2017-08-18 191.04 192.67069476366044
2017-08-19 200.77 190.9310418334603
2017-08-20 200.65 199.49234123259782
2017-08-21 190.73 204.2324588021636
2017-08-22 187.28 190.84314672559498
2017-08-23 199.93 191.42074721425772
2017-08-24 201.92 199.063964638412
2017-08-25 189.03 201.6380021136999
2017-08-26 274.7501 201.09976019203663
2017-08-27 231.7501 243.69526339471338
2017-08-28 277.7501 223.42107643544674
2017-08-29 237.7501 247.10656687200068
2017-08-30 205.13 233.91722790509462
2017-08-31 186.8 210.1336540982127
2017-09-01 183.04 203.1739467123151
2017-09-02 192.0 194.35795498102902
2017-09-03 210.9 206.17802562355993
2017-09-04 243.7501 214.77829228073358
2017-09-05 223.7501 236.63649080872534
2017-09-06 169.49 216.10129365622996
2017-09-07 243.17 182.64530220627785
2017-09-08 153.88 233.48712955147028
2017-09-09 136.55 166.97218295514583
2017-09-10 134.07 157.79527629494666
2017-09-11 166.95 150.26798237249255
2017-09-12 194.48 177.32218408435583
2017-09-13 250.61 202.10765824615953
2017-09-14 323.75 234.3070641237497
2017-09-15 347.34 274.80150855243204
2017-09-16 353.93 289.15957355737686
2017-09-17 356.01 293.11502416431904
2017-09-18 250.7501 283.9008933496475
2017-09-19 222.7501 234.49187578976154
2017-09-20 260.7501 223.27288417369127
2017-09-21 281.01 247.07772384405135
2017-09-22 196.94 253.43517116189003
2017-09-23 181.32 206.64068088293075
2017-09-24 187.55 194.1203237196803
2017-09-25 203.17 200.18644507169722
2017-09-26 205.16 209.13162567853928
2017-09-27 205.61 212.16224245220423
2017-09-28 204.03 206.7440362522006
2017-09-29 171.08 205.50774894297123
2017-09-30 166.0 179.8276998028159
2017-10-01 168.5 169.32336997583508
2017-10-02 166.25 170.15943714946508
2017-10-03 162.99 168.97188203558326
2017-10-04 162.26 167.15564638391137
2017-10-05 162.22 165.12921378657222
2017-10-06 165.22 171.5709383830428
2017-10-07 164.41 174.01486562803387
2017-10-08 163.59 170.240103713572
2017-10-09 162.77 171.0071688875556
2017-10-10 163.08 168.32252615511416
2017-10-11 163.78 171.17774402201175
2017-10-12 182.04 170.0861663247645
2017-10-13 183.42 185.35239184379577
2017-10-14 177.49 187.28558618724347
2017-10-15 176.0 187.45221977323294
2017-10-16 179.44 189.8526156747341
2017-10-17 180.4 184.6005165722966
2017-10-18 182.16 183.7194595399499
2017-10-19 179.15 184.19423826247453
2017-10-20 167.26 183.65924776256082
2017-10-21 180.89 180.44059635996817
2017-10-22 178.75 182.98818846404552
2017-10-23 162.09 182.37001279324292
2017-10-24 167.51 166.5579681880772
2017-10-25 165.21 170.2429851704836
2017-10-26 206.12 170.4477393642068
2017-10-27 172.81 203.6286904159188
2017-10-28 174.6 176.10328156515956
2017-10-29 173.6 178.06458256423474
2017-10-30 175.06 177.17475309640167
2017-10-31 173.74 178.55341995060442
2017-11-01 173.34 177.45804655641317
2017-11-02 172.99 177.5994442716241
2017-11-03 174.17 176.94184244409203
2017-11-04 174.6 179.8908428400755
2017-11-05 173.92 177.35539554327727
2017-11-06 178.59 175.49956298187374
2017-11-07 176.89 179.09654256224633
2017-11-08 178.29 177.88993070185182
2017-11-09 179.34 178.28210765957832
2017-11-10 178.94 179.3383501574397
2017-11-11 178.16 185.74743602901697
2017-11-12 180.02 181.00254449009896
2017-11-13 203.53 182.30894725084303
2017-11-14 200.46 202.27441989690064
2017-11-15 211.87 199.00965095430612
2017-11-16 120.05 208.17915831774474
2017-11-17 118.03 146.02855529353022
2017-11-18 117.28 152.50690285161136
2017-11-19 225.81 151.89694466903805
2017-11-20 208.83 217.25651597768066
2017-11-21 210.63 205.7688089391589
2017-11-22 205.07 207.59427236765623
2017-11-23 204.15 202.08401607006786
2017-11-24 203.71 200.3603925779462
2017-11-25 204.62 201.00185468941925
2017-11-26 204.38 201.84746624439953
2017-11-27 205.61 201.6261916977167
2017-11-28 210.08 202.7355526086688
2017-11-29 207.34 205.10265167474745
2017-11-30 206.48 204.87510195523498
2017-12-01 206.3 203.29542324393987
2017-12-02 207.36 203.16017263680695
2017-12-03 208.53 202.96090388327835
2017-12-04 210.22 204.30631659030914
2017-12-05 209.31 204.44767873197793
2017-12-06 206.91 204.2550266572833
2017-12-07 202.97 201.7636407497525
2017-12-08 201.62 198.86971886903046
2017-12-09 200.63 201.98209075719117
2017-12-10 202.73 200.5015270489454
2017-12-11 204.06 202.210771715343
2017-12-12 204.2 203.7928267392516
2017-12-13 197.74 202.86139757126568
2017-12-14 198.75 209.4128202995658
2017-12-15 202.06 210.43193824887274
2017-12-16 197.31 210.52970857203005
2017-12-17 196.46 201.32003156483174
2017-12-18 198.24 202.26863563895225
2017-12-19 198.88 204.8826079726219
2017-12-20 199.4 204.51767323344944
2017-12-21 199.67 213.90935871154068
2017-12-22 199.97 205.9346670219302
2017-12-23 200.43 206.64420266360042
2017-12-24 197.48 205.55689734876154
2017-12-25 198.68 205.85120437741278
2017-12-26 201.48 195.0722645920515
2017-12-27 205.39 202.25474061340094
2017-12-28 208.52 201.05957631886005
2017-12-29 206.56 208.94082342803478
2017-12-30 204.42 210.1485024946928
2017-12-31 208.4 209.10802619069813
2018-01-01 207.39 212.92987680286168
2018-01-02 209.64 215.0761139753461
2018-01-03 206.69 215.63680991679428
2018-01-04 206.38 212.525704446733
2018-01-05 213.56 210.12650381624698
2018-01-06 216.43 217.57746758937836
2018-01-07 215.3 214.3011514750123
2018-01-08 219.69 206.09134713083506
2018-01-09 214.26 210.35577529519796
2018-01-10 215.78 207.42188298255203
2018-01-11 218.52 208.189190056622
2018-01-12 220.55 210.47265572518108
2018-01-13 220.1 211.87925492465496
2018-01-14 221.6 211.05227679103612
2018-01-15 219.61 211.88194428443907
2018-01-16 221.34 210.00715458244085
2018-01-17 219.1 210.5767794829607
2018-01-18 219.23 208.97767050296068
2018-01-19 210.27 209.13048021048306
2018-01-20 221.01 210.75524482905863
2018-01-21 221.66 223.4810249686241
2018-01-22 223.52 222.2239982843399
2018-01-23 219.97 215.7718755415082
2018-01-24 219.74 214.10207481861113
2018-01-25 219.63 211.6838565725088
2018-01-26 225.83 212.05099687129257
2018-01-27 222.43 212.31108215242622
2018-01-28 221.22 215.11168751746416
2018-01-29 220.54 212.39591082096098
2018-01-30 220.62 213.59413444012404
2018-01-31 222.18 213.6937047845125
2018-02-01 222.54 216.06024178862572
2018-02-02 224.25 213.8070776632428
2018-02-03 224.59 218.12250405758618
2018-02-04 222.27 218.46440137088297
2018-02-05 224.44 214.60564676612614
