date orig pred
2018-07-05 124.36 98.27203089344316
2018-07-06 119.36 241.72822399728
2018-07-07 154.36 261.9028561489284
2018-07-08 177.36 150.85585501739754
2018-07-09 187.36 175.72414803879334
2018-07-10 127.36 291.940281984359
2018-07-11 129.36 192.30018984118476
2018-07-12 139.36 150.2615594610013
2018-07-13 168.36 190.57816452750936
2018-07-14 195.36 168.25607908731325
2018-07-15 166.36 218.50354256644843
2018-07-16 134.36 136.1692565607466
2018-07-17 189.36 241.29905874863266
2018-07-18 194.36 239.83201608739793
2018-07-19 179.36 226.03644680835305
2018-07-20 182.36 357.01744009003045
2018-07-21 180.36 302.06448761478066
2018-07-22 204.36 286.7801028499752
2018-07-23 157.36 230.3344694237411
2018-07-24 178.36 223.61702056996523
2018-07-25 171.36 118.9272158081457
2018-07-26 181.36 112.71773543091491
2018-07-27 204.36 117.9588625347428
2018-07-28 212.36 114.24261708773673
2018-07-29 141.36 131.21002245271578
2018-07-30 214.36 199.6069347848557
2018-07-31 129.36 196.55232977880164
2018-08-01 127.36 154.04938997125254
2018-08-02 124.36 165.3951023341529
2018-08-03 134.36 220.18989121384917
2018-08-04 179.36 171.0720409202017
2018-08-05 166.36 129.39713405407966
2018-08-06 181.36 101.80671780549922
2018-08-07 131.36 156.08257537456228
2018-08-08 127.36 106.1279406078905
2018-08-09 120.36 182.73822204409166
2018-08-10 199.36 191.01943893762305
2018-08-11 207.36 227.89263926446438
2018-08-12 136.36 179.59802459379657
2018-08-13 170.36 208.69224240154028
2018-08-14 153.36 203.53742758624256
2018-08-15 215.36 222.50780954658984
2018-08-16 178.36 162.22546029416844
2018-08-17 123.36 212.10503403715788
2018-08-18 188.36 170.15784853389485
2018-08-19 190.36 207.40228143543004
2018-08-20 164.36 192.1081590509601
2018-08-21 214.36 208.99684500552712
2018-08-22 237.13 229.71019679009913
2018-08-23 338.96 174.08879000535234
2018-08-24 284.36 172.18127166533841
2018-08-25 303.04 176.0308707321249
2018-08-26 310.5 196.4550423300825
2018-08-27 306.74 199.62292913330717
2018-08-28 305.44 218.8977608539909
2018-08-29 314.82 287.85698990650474
2018-08-30 310.29 198.07114206356928
2018-08-31 424.49 249.24235312238335
2018-09-01 432.63 427.45065386377274
2018-09-02 445.83 443.9099231172353
2018-09-03 437.07 454.3772676733136
2018-09-04 440.39 472.1597882260382
2018-09-05 445.01 454.84629060164093
2018-09-06 451.02 495.9815065380931
2018-09-07 627.29 507.7563447061181
2018-09-08 627.24 656.2939852078259
2018-09-09 613.62 654.3536794395744
2018-09-10 600.19 659.5246858209372
2018-09-11 586.12 643.1768445190787
2018-09-12 585.99 636.9074938048423
2018-09-13 589.86 650.4336638239026
2018-09-14 737.37 689.528939653784
2018-09-15 733.08 838.7780624178051
2018-09-16 731.59 833.6882702496647
2018-09-17 715.61 813.7260611894726
2018-09-18 723.74 800.2527060472964
2018-09-19 669.31 804.1629002258181
2018-09-20 662.64 723.1901208059489
2018-09-21 828.37 730.2684976141154
2018-09-22 817.34 850.4293634727596
2018-09-23 867.43 829.3107492142915
2018-09-24 831.06 874.0984747955202
2018-09-25 841.9 913.3271880626678
2018-09-26 1015.94 925.8548453047871
2018-09-27 1172.6 1077.5821651560068
2018-09-28 1068.39 1155.0027792528272
2018-09-29 1074.65 1065.0425959700344
2018-09-30 1158.21 1060.7449875116347
2018-10-01 1223.04 1126.5475908866524
2018-10-02 1246.61 1181.2750841861962
2018-10-03 1192.83 1219.1355016511677
2018-10-04 1216.56 1223.9484002900122
2018-10-05 1277.86 1236.9768324962258
2018-10-06 1292.14 1243.6306392261386
2018-10-07 1290.06 1225.2983942976593
2018-10-08 1240.15 1182.2666943466663
2018-10-09 1234.75 1176.1315699401498
2018-10-10 1272.21 1212.5496955543756
2018-10-11 1289.24 1282.8448372769356
2018-10-12 1369.81 1275.1817496883868
2018-10-13 1315.59 1321.0465201002357
2018-10-14 1385.93 1328.1509296333788
2018-10-15 1624.51 1395.4736863729356
2018-10-16 1499.04 1595.4715159720179
2018-10-17 1525.87 1507.5028361499308
2018-10-18 1555.66 1531.287122558951
2018-10-19 1473.3 1554.4560900139807
2018-10-20 1491.87 1510.68324627161
2018-10-21 1466.21 1503.9925204044578
2018-10-22 1479.56 1479.4763199883696
2018-10-23 1486.25 1511.747905836105
2018-10-24 1517.26 1492.5029377925393
2018-10-25 1510.47 1512.3622781455515
2018-10-26 1524.58 1500.9361207181212
2018-10-27 1667.42 1514.019537194967
2018-10-28 1639.38 1672.7326993501183
2018-10-29 1644.24 1649.2439238131044
2018-10-30 1642.79 1660.4864321988819
2018-10-31 1691.19 1663.7099146473404
2018-11-01 1668.38 1711.7164683413503
2018-11-02 1691.16 1685.6367266857621
2018-11-03 1744.16 1709.6111308741567
2018-11-04 1720.64 1768.6609242773054
2018-11-05 1725.67 1741.268186638355
2018-11-06 1775.75 1757.4122627019879
2018-11-07 1836.25 1806.576720448136
2018-11-08 1797.29 1866.7940421229598
2018-11-09 1748.06 1848.8797407609222
2018-11-10 1741.09 1796.4701855158803
2018-11-11 1744.18 1795.232921096086
2018-11-12 1809.93 1793.117801635265
2018-11-13 1865.72 1854.951992192268
2018-11-14 1813.75 1919.6736063843962
2018-11-15 1902.64 1867.696036599874
2018-11-16 1908.34 1961.14910159111
2018-11-17 1915.19 1981.6461648190018
2018-11-18 1895.86 1960.7873256009814
2018-11-19 1760.93 1937.0301763355728
2018-11-20 1745.28 1831.6258817428347
2018-11-21 1875.98 1834.9086872494217
2018-11-22 1947.2 1911.8759374964234
2018-11-23 1903.22 1961.6219505411384
2018-11-24 1910.35 1919.6960103052852
2018-11-25 1794.19 1914.114594070315
2018-11-26 1949.71 1823.5308086937662
2018-11-27 1917.28 1972.6033428066967
2018-11-28 1856.88 1942.8818595880266
2018-11-29 1923.97 1896.5434513556954
2018-11-30 1888.03 1958.189732970595
2018-12-01 1862.76 1926.0590393859145
2018-12-02 1905.29 1888.3511894667145
2018-12-03 1907.41 1920.72769508481
2018-12-04 1912.85 1940.1092954909798
2018-12-05 1893.37 1939.6863031536338
2018-12-06 2015.77 1911.832865169644
2018-12-07 2077.26 2025.0963605457541
2018-12-08 2070.02 2062.590268797874
2018-12-09 2023.1 2077.9328524804114
2018-12-10 2123.33 2028.9998493254182
2018-12-11 2046.93 2130.7245365732906
2018-12-12 1967.38 2073.1822746074195
2018-12-13 1974.4 1978.221047082543
2018-12-14 2039.74 2006.7150478750464
2018-12-15 2057.94 2072.038727997541
2018-12-16 2044.95 2069.7898161077496
2018-12-17 2044.42 2077.0826079052686
2018-12-18 1991.48 2072.534927513003
2018-12-19 2026.11 2014.7738328832384
2018-12-20 2021.03 2037.322748161554
2018-12-21 1973.1 2032.2709795492883
2018-12-22 1951.75 1998.5349345910545
2018-12-23 1967.7 1972.456139580011
2018-12-24 1921.56 1978.3228113710877
2018-12-25 2022.68 1945.8814606016872
2018-12-26 1895.38 2039.5830197858807
2018-12-27 1941.83 1923.2140569812057
2018-12-28 1862.75 1968.6834455215928
2018-12-29 2032.26 1919.7565955561397
2018-12-30 1969.04 2067.5664636206625
2018-12-31 1990.25 1996.9242188984153
2019-01-01 1946.42 2028.5176917040344
2019-01-02 2007.27 1974.3871366769072
2019-01-03 2044.31 2026.380483870506
2019-01-04 2026.91 2074.172938123345
2019-01-05 2060.38 2066.9437292844054
2019-01-06 1758.87 2107.708452212214
2019-01-07 1641.02 1800.5988179230687
2019-01-08 1695.25 1693.128313837647
2019-01-09 1716.21 1775.3428147953746
2019-01-10 2260.94 1828.3801531475779
2019-01-11 2146.63 2279.234290504455
2019-01-12 1726.37 2177.912873832583
2019-01-13 2161.23 1816.8927793729301
2019-01-14 2109.63 2195.431004452705
2019-01-15 2129.31 2145.909030616879
2019-01-16 2117.19 2156.738328658938
2019-01-17 1957.65 2154.48594573915
2019-01-18 1875.3 2017.9119595485922
2019-01-19 1914.99 1940.5490118819473
2019-01-20 1996.35 1992.2277575385567
2019-01-21 2099.83 2053.0408341801162
2019-01-22 2080.33 2165.6909038913245
2019-01-23 2130.05 2134.6491670811174
2019-01-24 2085.82 2181.303123494982
2019-01-25 2036.8 2168.9371058088536
2019-01-26 2434.41 2089.951609392762
2019-01-27 2532.27 2470.639348685145
2019-01-28 2566.2 2549.816225073337
2019-01-29 2564.57 2584.802471926808
2019-01-30 2417.33 2557.3882770115133
2019-01-31 2432.72 2431.233534001112
2019-02-01 2529.56 2422.340597375035
2019-02-02 2212.5 2500.743907396197
2019-02-03 2383.82 2225.957293308377
2019-02-04 2535.9 2364.3392128050323
2019-02-05 2491.49 2506.792492713928
