epochs,loss
1,0.3293412236089936
2,0.06767588826960218
3,0.03364278954866236
4,0.023917237923803455
5,0.01877099821107921
6,0.015789637259508153
7,0.013897274612898906
8,0.012683727166322406
9,0.011600265628191641
10,0.010906137226714952
11,0.010396459507793263
12,0.009833761342737697
13,0.009369665515125693
14,0.009031335321648834
15,0.008789394630113606
16,0.008706218571098146
17,0.008536586847746762
18,0.008324585415737634
19,0.008215887788151258
20,0.008077837573749318
21,0.008097413253145972
22,0.00795726620828157
23,0.007821025376686153
24,0.007880564121786553
25,0.007741403720483467
26,0.00783612651330277
27,0.007682579138006162
28,0.007813410727094433
29,0.007666478749280846
30,0.007699740912664014
31,0.0077821653975987575
32,0.007691692523466972
33,0.008008028882161858
34,0.0077073921076411
35,0.007740936729751849
36,0.0076868831711253876
37,0.0077908059186325455
38,0.007659776159510408
39,0.007589305601423822
40,0.00763914604913462
41,0.00757021053049355
42,0.007569762725951822
43,0.0077232762190239425
44,0.007742425185261492
45,0.007736474339249973
46,0.00756505088905621
47,0.007570726106249875
48,0.007521502673975892
49,0.007650135400346228
50,0.007482649168916017
