epochs,loss
1,0.9498503153811476
2,0.17643383100352628
3,0.0684374863419958
4,0.05607197063793998
5,0.0464161561245849
6,0.03847450592213558
7,0.03283134100208421
8,0.02827776360413235
9,0.025008125963223302
10,0.02252356460568064
11,0.020588972483517112
12,0.01910280700069493
13,0.017655079397166432
14,0.01629349369861798
15,0.015182279178197075
16,0.014099981917632008
17,0.012787440773062334
18,0.011275137286121865
19,0.009706861999507373
20,0.00861227892237512
21,0.007687945160450216
22,0.006962974797887342
23,0.006190455674738781
24,0.005739483685220568
25,0.005252920503505059
26,0.004829432960190924
27,0.004517117354737935
28,0.0043596620425322506
29,0.004208254324013782
30,0.004104231959810753
31,0.004006687775002288
32,0.00394454237577232
33,0.003817134672348464
34,0.003805088204574792
35,0.004022285420072155
36,0.003787681438713073
37,0.003720918824972738
38,0.003777570696944233
39,0.003692339300779898
40,0.0036421674839710867
