epochs,loss
1,0.30766753752329545
2,0.0516799954540714
3,0.032357686202980594
4,0.028490347422860968
5,0.02596881542586253
6,0.021672422641175304
7,0.01775991879328936
8,0.015316952050798027
9,0.01297512851965302
10,0.011263412574375187
11,0.009847272262943046
12,0.00868558233840865
13,0.007846019573729926
14,0.0072569891702867146
15,0.00664723338465951
16,0.0062178865766604405
17,0.005864894017985441
18,0.005591392154545936
19,0.005465370486723725
20,0.005283627629854643
21,0.005210112095226063
22,0.0051830579925631545
23,0.005129435517555028
24,0.005053745677535103
25,0.004968413754724537
26,0.0049891981416039415
27,0.00490843628635602
28,0.004863821697304257
29,0.004921422409790033
30,0.004903667631755277
31,0.004796711431572658
32,0.004853189574899084
33,0.00474395033573771
34,0.004721754250724503
35,0.004755035453745004
36,0.004755750056687474
37,0.0047079534616716705
38,0.004671825217296564
39,0.004700566381028828
40,0.004717994025702934
41,0.004729293680897744
42,0.004693024615258611
43,0.004625439433192457
44,0.004614211510446245
45,0.004643265976621755
46,0.004590306606669565
47,0.0047393174494853715
48,0.004522382493926348
49,0.004670868073646091
50,0.004582364160139655
51,0.0046634058767714105
52,0.004655988922861948
53,0.004625074460561732
54,0.004592575929790198
55,0.004623826507132273
56,0.004574710778861245
57,0.004614825990029567
58,0.004703666718958043
59,0.004605997560289408
60,0.004652150515310036
