date orig pred
2018-08-27 90.75507752 83.50524215102195
2018-08-28 74.96 87.79162581443786
2018-08-29 83.22 78.44350622832775
2018-08-30 84.56 83.70367225646972
2018-08-31 85.36 84.4517242360115
2018-09-01 86.05 85.31166556954383
2018-09-02 86.54 86.11560128450394
2018-09-03 85.82 86.64264260292053
2018-09-04 86.25 85.83540861845016
2018-09-05 79.75 86.00991930961608
2018-09-06 78.14 82.0951357281208
2018-09-07 87.09 81.10495822310448
2018-09-08 88.62 86.64967222929
2018-09-09 89.2 87.43664143800736
2018-09-10 89.48 87.46633885622025
2018-09-11 89.71 87.70211903333663
2018-09-12 81.41 87.7279001045227
2018-09-13 79.51 82.45251693367958
2018-09-14 79.02 81.56505042433739
2018-09-15 78.6 81.39366105556488
2018-09-16 78.38 81.08642270326614
2018-09-17 78.36 81.12552368521689
2018-09-18 90.07 80.98368324756622
2018-09-19 92.29 88.00868424415587
2018-09-20 94.66 89.08454127550125
2018-09-21 95.19 90.21542391061783
2018-09-22 95.44 91.04177684545516
2018-09-23 95.72 91.4671478152275
2018-09-24 91.8 91.66536323308944
2018-09-25 91.13 88.87406082391739
2018-09-26 84.64 88.24211708784102
2018-09-27 83.09 84.69305535554885
2018-09-28 82.56 84.03276728987693
2018-09-29 82.25 83.46399119973182
2018-09-30 82.09 83.10683272480964
2018-10-01 81.71 82.98213017225265
2018-10-02 81.62 82.9438341140747
2018-10-03 80.53 82.81100374937057
2018-10-04 81.16 81.37869603157043
2018-10-05 81.75507752 82.14102813839912
2018-10-06 89.75507752 82.94025619387627
2018-10-07 82.75507752 88.17775164604187
2018-10-08 76.53 83.9046371603012
2018-10-09 79.19 80.14445617258548
2018-10-10 80.94 81.31098839282988
2018-10-11 83.4 82.9326944887638
2018-10-12 83.87 84.4695705282688
2018-10-13 85.53 84.77031442642212
2018-10-14 86.13 85.35779494047165
2018-10-15 85.87 85.75594822645186
2018-10-16 86.07 85.95975294589996
2018-10-17 86.03 85.79454497098922
2018-10-18 86.09 85.93143769502639
2018-10-19 85.9 85.79999568462371
2018-10-20 85.95 85.62499251127242
2018-10-21 85.87 85.7724191570282
2018-10-22 85.19 85.55998486280441
2018-10-23 85.86 85.59455884456634
2018-10-24 85.84 85.85266158103943
2018-10-25 85.94 85.79732910394668
2018-10-26 85.87 85.55162503957747
2018-10-27 85.77 85.65186743736267
2018-10-28 85.79 85.8189946079254
2018-10-29 85.81 85.80959908723831
2018-10-30 85.87 85.71562160730362
2018-10-31 85.87 85.71279540300368
2018-11-01 85.8 85.53385979652404
2018-11-02 85.82 85.50494441032409
2018-11-03 85.85 85.58559517383576
2018-11-04 85.85 85.56492082118987
2018-11-05 85.85 85.37967327594757
2018-11-06 85.84 85.55469995975494
2018-11-07 85.88 85.46936071634292
2018-11-08 85.35 85.74213768959045
2018-11-09 85.5 85.44714704751968
2018-11-10 85.61 85.56166771650314
2018-11-11 85.7 85.66263275146484
2018-11-12 85.83 85.65836374759674
2018-11-13 85.84 86.13012703418731
2018-11-14 85.91 86.21673213005066
2018-11-15 85.85 86.06790723085403
2018-11-16 86.21 86.34270115375519
2018-11-17 86.18 86.71161485671996
2018-11-18 86.26 86.29317204713821
2018-11-19 86.81 86.41947392940521
2018-11-20 86.18 86.1616359949112
2018-11-21 86.28 86.35955072641372
2018-11-22 86.24 86.53447718143462
2018-11-23 86.39 86.34312681674957
2018-11-24 87.16 86.43951844930648
2018-11-25 86.45 86.57385719537734
2018-11-26 86.54 86.23934547662735
2018-11-27 88.55 86.5563332438469
2018-11-28 88.86 88.28997076511382
2018-11-29 88.99 88.58423753261566
2018-11-30 89.13 88.82273873567581
2018-12-01 89.21 88.84858043909072
2018-12-02 89.29 88.63890676736831
2018-12-03 89.36 89.02189580917359
2018-12-04 90.26 89.12729194641113
2018-12-05 90.41 89.65359701633453
2018-12-06 87.08 89.68465432882309
2018-12-07 86.97 86.41669350862503
2018-12-08 86.98 86.96063884496688
2018-12-09 86.93 86.92268430709838
2018-12-10 86.84 86.79293628692626
2018-12-11 86.8 86.70799300909042
2018-12-12 86.75 86.69872865200043
2018-12-13 86.79 86.44906740665435
2018-12-14 86.84 86.67052724123
2018-12-15 86.85 86.87013225078583
2018-12-16 86.84 86.68525592327117
2018-12-17 86.83 86.89952650785446
2018-12-18 86.85 86.8585354089737
2018-12-19 86.93 86.82478305578232
2018-12-20 86.96 86.82463333129883
2018-12-21 86.95 86.93595410346984
2018-12-22 86.95 87.0238535118103
2018-12-23 86.98 86.91809853076934
2018-12-24 87.14 86.88497848510741
2018-12-25 87.06 86.81101953983307
2018-12-26 87.01 86.9884529519081
2018-12-27 87.09 86.80626052856445
2018-12-28 87.03 86.84981302976608
2018-12-29 87.09 86.58844728946686
2018-12-30 87.05 86.73982740402221
2018-12-31 87.06 86.60031512022017
2019-01-01 87.07 86.79396332263946
2019-01-02 87.15 86.5474425792694
2019-01-03 87.23 86.70782472372055
2019-01-04 87.36 86.94052008152008
2019-01-05 87.35 87.05297677993774
2019-01-06 87.21 86.93693411827087
2019-01-07 87.23 87.21434265136719
2019-01-08 87.26 86.91422054290771
2019-01-09 87.3 87.15802644729614
2019-01-10 87.32 87.0548118329048
2019-01-11 87.33 87.13603922128677
2019-01-12 87.28 87.02945889949798
2019-01-13 87.31 86.92359255313873
2019-01-14 87.34 87.10599038362503
2019-01-15 87.33 87.06882158994674
2019-01-16 87.34 86.99592556476593
2019-01-17 87.35 87.17121333837508
2019-01-18 87.36 87.10522938728332
2019-01-19 87.38 86.88289224147796
