date,orig,pred
2018-08-27,474.65,448.32610175669186
2018-08-28,447.24,462.4416895800828
2018-08-29,380.38,409.11812881529323
2018-08-30,385.0,373.9392008185386
2018-08-31,382.28,377.56099674820894
2018-09-01,380.48,372.2761966347694
2018-09-02,380.66,376.30796015143386
2018-09-03,405.02,370.3931612747907
2018-09-04,405.61,387.38395935118194
2018-09-05,391.52,387.56418162882323
2018-09-06,386.85,377.4861407810449
2018-09-07,405.09,376.4206683379411
2018-09-08,406.71,390.0909990853071
2018-09-09,406.58,389.72587927877896
2018-09-10,407.68,390.9115749418735
2018-09-11,408.74,391.912165287137
2018-09-12,390.39,393.0878697651624
2018-09-13,386.76,377.09509930372235
2018-09-14,383.56,377.7076957428455
2018-09-15,382.81,376.09179038643833
2018-09-16,381.95,375.3417069292068
2018-09-17,381.44,373.3747594672441
2018-09-18,408.59,373.0740715491771
2018-09-19,414.06,398.62792128086085
2018-09-20,389.34,396.8415943586826
2018-09-21,388.65,381.43482335150236
2018-09-22,388.78,376.16432604372494
2018-09-23,389.09,376.58785185933107
2018-09-24,384.09,377.2584560453891
2018-09-25,385.19,378.15884017229075
2018-09-26,365.16,377.51166418969626
2018-09-27,356.74,360.4535251796245
2018-09-28,353.35,354.0897463417053
2018-09-29,351.67,346.4483425486087
2018-09-30,349.81,344.6042849314212
2018-10-01,349.29,343.86351734518996
2018-10-02,349.48,342.0453640830516
2018-10-03,308.94,341.96595407485955
2018-10-04,329.36,310.43268310487264
2018-10-05,338.6,328.66105481743807
2018-10-06,327.6,336.2958786273002
2018-10-07,344.6,319.1903983694314
2018-10-08,319.12,328.507109183371
2018-10-09,326.92,301.15413619369264
2018-10-10,258.17,308.73824218541375
2018-10-11,261.55,245.22691935241218
2018-10-12,261.34,245.61751927822826
2018-10-13,204.51,243.9180005164444
2018-10-14,191.15,196.23292478628454
2018-10-15,213.0,185.0614747047424
2018-10-16,201.41,203.33293232068417
2018-10-17,206.72,196.05646868325766
2018-10-18,195.31,199.11112416982647
2018-10-19,191.93,183.22361828885968
2018-10-20,196.51,194.71618345681574
2018-10-21,194.46,197.46861425291743
2018-10-22,240.86,199.83330222118644
2018-10-23,189.88,226.88849742025135
2018-10-24,199.54,191.79705073349174
2018-10-25,184.14,197.19276360709216
2018-10-26,188.45,193.51572720304128
2018-10-27,197.06,192.30686740159985
2018-10-28,198.46,193.05005702771243
2018-10-29,196.07,194.83448895800856
2018-10-30,195.9,195.1756664998829
2018-10-31,194.4,195.07387913752345
2018-11-01,189.13,195.85900858111677
2018-11-02,195.75,193.8909680627286
2018-11-03,201.68,195.0946775121614
2018-11-04,191.85,196.43609475545583
2018-11-05,203.46,194.6006712017953
2018-11-06,201.42,198.13650527812538
2018-11-07,197.28,196.40110396303234
2018-11-08,207.59,194.99619312822816
2018-11-09,206.43,193.47004502009597
2018-11-10,207.09,198.65094849694518
2018-11-11,202.85,204.46151632666584
2018-11-12,218.21,200.95868606097994
2018-11-13,221.23,213.26419625297186
2018-11-14,213.08,214.6736459775269
2018-11-15,225.0,210.213045040369
2018-11-16,233.12,219.00902810215948
2018-11-17,212.98,224.61327774375675
2018-11-18,212.19,207.045707340911
2018-11-19,187.76,210.18351303666827
2018-11-20,220.81,192.4076352994516
2018-11-21,214.91,220.00804487906393
2018-11-22,210.02,213.16473028272387
2018-11-23,208.11,201.9478826458007
2018-11-24,189.56,201.47219964072104
2018-11-25,206.07,187.96829268641767
2018-11-26,210.06,202.15757632203398
2018-11-27,221.07,202.13791429318485
2018-11-28,228.04,215.5461409320682
2018-11-29,231.95,222.1321219077706
2018-11-30,231.19,222.72715152323244
2018-12-01,219.39,222.638936458528
2018-12-02,231.35,212.02449278011915
2018-12-03,232.93,220.23833346992728
2018-12-04,226.44,225.01398573592303
2018-12-05,223.21,220.1512395997345
2018-12-06,187.56,216.54160798117516
2018-12-07,214.69,189.66198686435817
2018-12-08,211.48,204.35045530043539
2018-12-09,208.35,203.5207583750039
2018-12-10,205.95,200.10888771966097
2018-12-11,209.09,196.9509470587596
2018-12-12,200.98,202.178285953477
2018-12-13,208.87,193.68248215973375
2018-12-14,213.95,203.4466859453171
2018-12-15,202.61,206.67631703868506
2018-12-16,212.81,196.751405820474
2018-12-17,211.65,207.28476202785967
2018-12-18,210.66,206.21952767625447
2018-12-19,206.19,206.94848159521814
2018-12-20,210.55,201.33816062040623
2018-12-21,215.43,205.13875244319436
2018-12-22,210.16,210.17473395377394
2018-12-23,207.18,206.24000787407158
2018-12-24,202.27,201.56340491820123
2018-12-25,209.76,203.84145030789074
2018-12-26,206.37,208.30171358801422
2018-12-27,205.1,206.8618444278091
2018-12-28,198.37,204.1476316461712
2018-12-29,199.23,201.1633473487198
2018-12-30,195.4,197.86164812318978
2018-12-31,202.33,195.1741286452487
2019-01-01,192.99,202.49567490793763
2019-01-02,195.81,193.74835017282513
2019-01-03,202.16,194.75794254120436
2019-01-04,204.23,201.2401902976632
2019-01-05,198.67,204.77322788111863
2019-01-06,214.63,196.96889374658463
2019-01-07,202.12,212.051864644587
2019-01-08,210.95,201.2625817208737
2019-01-09,207.14,208.71404693871733
2019-01-10,206.98,204.57930451996623
2019-01-11,204.62,202.48765122443436
2019-01-12,211.22,203.55040942445393
2019-01-13,208.03,219.28037881866095
2019-01-14,206.47,206.5595959281921
2019-01-15,202.24,206.0900621771812
2019-01-16,210.62,200.98816828191278
2019-01-17,211.0,208.70191076569256
2019-01-18,203.41,212.94165369980036
2019-01-19,218.06,209.331305642277
2019-01-20,199.9,221.26062044411896
2019-01-21,205.08,203.92412649855015
2019-01-22,201.98,207.41015832677482
2019-01-23,200.61,202.2506571111828
2019-01-24,209.91,200.82578338645396
2019-01-25,203.07,211.92743802741168
2019-01-26,206.88,207.20284989446398
2019-01-27,209.77,208.41452783346173
2019-01-28,210.19,208.21302234031256
2019-01-29,198.57,210.01987058520314
2019-01-30,208.85,198.1661141204461
2019-01-31,208.34,209.40577200517055
2019-02-01,201.14,210.87309095069764
2019-02-02,206.57,202.1330312529951
2019-02-03,207.54,214.42108284473417
2019-02-04,209.96,211.2875151776522
2019-02-05,207.16,211.187867392078
2019-02-06,204.85,209.52731987968085
2019-02-07,207.85,207.8898304466903
2019-02-08,208.14,210.5664377583563
2019-02-09,213.07,210.4963587724417
2019-02-10,206.79,214.08952095270155
2019-02-11,202.99,210.44722318053243
2019-02-12,207.88,205.3240763723105
2019-02-13,203.83,209.5985178956389
2019-02-14,203.68,206.76955150507388
2019-02-15,202.23,206.62418149389325
2019-02-16,208.89,205.26453401744362
2019-02-17,201.05,209.51351273722943
2019-02-18,195.16,205.19006765455003
2019-02-19,191.81,198.00149441160258
2019-02-20,223.01,196.430289651826
2019-02-21,185.22,218.5016334739327
2019-02-22,218.53,185.83737810276446
2019-02-23,222.31,209.47446356698867
2019-02-24,217.55,212.0954245664924
2019-02-25,228.24,207.41958458565173
2019-02-26,228.58,217.5548821099102
2019-02-27,223.95,219.34815697491166
2019-02-28,227.33,215.2012350937724
2019-03-01,223.94,217.14628463126715
2019-03-02,235.27,210.33942400783297
2019-03-03,232.86,219.78312416926025
2019-03-04,230.33,217.8043045993894
2019-03-05,232.15,213.83007481113074
2019-03-06,241.6,215.09159828759726
2019-03-07,226.79,222.93616122752425
2019-03-08,236.36,212.73757681846615
