epochs,loss
1,0.4491662323833948
2,0.28997354927551316
3,0.12627721865134067
4,0.04658747070569949
5,0.02841445583715496
6,0.026251476589051716
7,0.025034864385421556
8,0.024190092072205013
9,0.023536476183188968
10,0.0230109431130071
11,0.022618346149101853
12,0.02236609011664089
13,0.02213216110704893
14,0.02172559194536094
15,0.02166284222986145
16,0.021302761437079633
17,0.02119819505746106
18,0.020884064543734204
19,0.020794988239565527
20,0.020822804645601524
21,0.020659071006195014
22,0.020385460159460824
23,0.020434365635849983
24,0.020208736730133552
25,0.02021100518226354
26,0.020093114294829857
27,0.020014755904719413
28,0.02001972748976515
29,0.019897365286183286
30,0.019827584427478444
31,0.019746952246964336
32,0.019711241098008602
33,0.01960375999291259
34,0.019632300356380552
35,0.019555796801774616
36,0.019612873542537712
37,0.01940769269636058
38,0.019459886218320174
39,0.019484074127086134
40,0.019621566779552454
41,0.01966774721169867
42,0.019549573527604162
43,0.019266677037139524
44,0.019250084842409355
45,0.01927978575723358
46,0.019322834190834
47,0.01909841452332505
48,0.019201605666305376
49,0.01910700581137495
50,0.019018951890406657
51,0.019042433037546026
52,0.01906127433281347
53,0.01933427659390741
54,0.018971074204218674
55,0.01899125848908022
56,0.018995109216186655
57,0.019397521200758147
58,0.019003717049238193
59,0.018826729354325188
60,0.018874134997422076
