epochs,loss
1,0.20057045114058328
2,0.09446620326264794
3,0.05061810430004654
4,0.02802290704595037
5,0.019049020116610162
6,0.015511337117886687
7,0.013632466194657496
8,0.012498103999476656
9,0.01162542322235384
10,0.01071445020168167
11,0.009910017956070691
12,0.009225993229255798
13,0.008545782906564334
14,0.008003010811474937
15,0.007457266182986548
16,0.0068568960007515745
17,0.006287345624843006
18,0.005858195052168007
19,0.005385396227167627
20,0.00501417050542063
21,0.00460723694764549
22,0.004310424358258585
23,0.003986919464274164
24,0.003706114146443286
25,0.003415681226796145
26,0.003278662160274584
27,0.002995677488710148
28,0.002797493214595569
29,0.0026417539443775832
30,0.0024672575499750226
31,0.0023723726963108204
32,0.0021627968856054976
33,0.002056375142405685
34,0.0019614803489944226
35,0.0018839832459834505
36,0.0017401090983009662
37,0.0017146706314272169
38,0.0016245932482373733
39,0.0015670901160204716
40,0.001559203473082463
41,0.0014638199133613337
42,0.0015297178299999404
43,0.0014221743741549596
44,0.0013916382156449218
45,0.0013650770142046083
46,0.0013534826796687018
47,0.0013639822641544673
48,0.001280635530626996
49,0.0012755320219502572
50,0.0012570061017506678
