epochs,loss
1,0.31542681760891494
2,0.09220661944202739
3,0.06607298870163271
4,0.05360955077720933
5,0.044247296376969204
6,0.036794588740271736
7,0.031002053029715537
8,0.026709633105131518
9,0.02313756866821922
10,0.020367404324447655
11,0.018203895395045657
12,0.016798419124226135
13,0.015967910718705774
14,0.015222974198128856
15,0.014952166264513919
16,0.014543187619143924
17,0.014372485845039288
18,0.014344067004673841
19,0.014157774238931352
20,0.01383230995200294
21,0.013918843524283674
22,0.01385635286981023
23,0.013793472869202015
24,0.0135569811067413
25,0.013872144086918527
26,0.013585148445139545
27,0.013395714564211517
28,0.013396160549789959
29,0.01313098483947087
30,0.013411814745947584
31,0.013411905061562049
32,0.013114070608606702
33,0.01326674987723825
34,0.013184404328846967
35,0.013111324899972054
36,0.012883655473507612
37,0.0130692190891805
38,0.012985144100847643
39,0.012972288786987194
40,0.012701854316646749
41,0.012733299841535798
42,0.012789200824483421
43,0.012848979655099681
44,0.012810525205507923
45,0.012768277836482912
46,0.01256973414018717
47,0.012429448045663026
48,0.012755140496219647
49,0.012732154833495123
50,0.012602647436393732
