epochs,loss
1,0.22766101680486556
2,0.09745487564030182
3,0.06319293427658847
4,0.0429526566187421
5,0.029216524617499615
6,0.020550646980005097
7,0.015226192996803537
8,0.012472514073405579
9,0.011099784733934106
10,0.009774863554434065
11,0.008833523499349275
12,0.008121384602286908
13,0.007539991203351432
14,0.006959919830485916
15,0.006516014032690491
16,0.006089907791044742
17,0.005729244816692987
18,0.005458465768921986
19,0.005158035954681176
20,0.004919083460783923
21,0.004706054004881695
22,0.004397895042672305
23,0.00422061287403391
24,0.004069913489123185
25,0.0039046077267173305
26,0.0038019042045072497
27,0.00368691088064166
28,0.003614200963115088
29,0.0033442459670437806
30,0.003147329195602666
31,0.0031099800942895792
32,0.003015137876184075
33,0.002888784347846356
34,0.0029220662873853595
35,0.0027341409530266224
36,0.002656660125923743
37,0.0025752246365935588
38,0.002490890059006741
39,0.002461379813310881
40,0.002382646611360805
41,0.0022584901029236116
42,0.002301845866340553
43,0.0021251704371777406
44,0.0020795996656725988
45,0.0019856257701711543
46,0.0019091044376905466
47,0.0019333330313249652
48,0.0019008076807774368
49,0.0017966015271872401
50,0.001749681867127275
51,0.0016890254169759803
52,0.0016192532904868305
53,0.0016957685990954738
54,0.0016017999237283584
55,0.0015606438436403536
56,0.0015031445692442957
57,0.0015127403111324224
58,0.001386512885106589
59,0.0013837203141848881
60,0.00137888840525916
